Ecossistema ou Espécie,Localização Geográfica,Estado de Conservação ou Tendência,Principais Ameaças,Produção de Serrapilheira (g·m⁻².ano⁻¹),Impacto das Mudanças Climáticas,Fonte
"Florestas mediterrânicas (Carvalho-fagus, cedro)","Bacia do Mediterrâneo (Marrocos, Argélia, Itália, Chipre, Grécia)",Em declínio; aumento da mortalidade e desfolhação observados,"Seca severa, incêndios florestais, sobrepastoreio",Não consta na fonte,"Redução da biomassa florestal, contração de áreas de distribuição e risco de desertificação",1
Zonas Húmidas Costeiras,"Bacia do Mediterrâneo (Tunísia, Egito, Argélia, Marrocos)",Declínio rápido; quase 50% da área natural perdida desde 1900,"Urbanização, turismo, desenvolvimento de infraestruturas, drenagem, poluição",Não consta na fonte,Risco de submersão devido à subida do nível do mar e degradação da hidrologia,1
Tulipa albanica,Albânia,Criticamente em Perigo,Não consta na fonte,Não consta na fonte,Não consta na fonte,1
Abies nebrodensis,"Sicília, Itália",Criticamente em Perigo,Não consta na fonte,Não consta na fonte,Extinção local ou contração de alcance,1
Cedrus atlantica,Marrocos e Argélia,Em Perigo,"Drought, incêndios, sobrepastoreio",Não consta na fonte,Mortalidade aumentada e redução da distribuição,1
Pinus halepensis (Pinheiro-de-alepo),"Bacia do Mediterrâneo (Grécia, França, Espanha, Líbano)",Estável / A fazer bem,Fogo e seca prolongada,150 - 530,Adaptação através da redução da altura da árvore e tamanho das folhas; aumento da mortalidade se a frequência de fogos for elevada.,"2, 3"
Quercus ilex (Azinheira),Bacia do Mediterrâneo,A fazer bem / Estável,Seca severa e calor extremo (foto-oxidação),547 (estimado por biomassa foliar),Elevada plasticidade fotoprotectora; adaptação fenológica (floração precoce).,"3, 4"
Pinus sylvestris (Pinheiro-silvestre),"Espanha (Sierra de Gredos, Pirenéus)",Em declínio acentuado (50% das populações com morte progressiva),"Seca, calor e ataques de insectos/fungos",180 - 480,Mortalidade em larga escala (dieback); baixa tolerância ao aumento da aridez em comparação com espécies tipicamente mediterrânicas.,"2, 3, 5"
Arbutus unedo (Medronheiro),"Espanha (Ávila), Grécia",Tolerante à seca (plântulas),Stress hídrico extremo,83.5 - 274,Adaptação através de mecanismos fotoprotectores (antioxidantes); redução da fotossíntese sob stress severo.,"2, 5"
Maquis (Geral),Grécia,Vulnerável a fogos repetidos,"Urbanização, fogo e seca",127 - 726,Colapso das funções biológicas se o intervalo entre fogos for inferior a 10 anos.,"2, 3"
Pistacia lentiscus (Aroeira),"Grécia, Espanha (Levante)",Tolerância moderada ao stress,Seca e radiação solar elevada,35.4 - 170,Aumento da produção de alfa-tocoferol como resposta de adaptação ao stress oxidativo.,"2, 4, 5"
Quercus coccifera (Carrasco),"França, Grécia",Estável,Fogo recorrente e sobrepastoreio,230 - 726,Elevada retenção de pigmentos do ciclo da violaxantina durante o inverno e períodos de seca.,"2, 4"